frequency_hz;response_db
25;11,4
26;11,4
27;11,4
28;11,3
29;11,3
30;11,3
31;11,3
32;11,3
33;11,3
34;11,3
35;11,3
36;11,3
37;11,3
38;11,3
39;11,3
40;11,3
41;11,3
42;11,3
43;11,3
44;11,3
45;11,2
46;11,2
47;11,2
48;11,2
49;11,2
50;11,2
51;11,2
52;11,2
53;11,2
54;11,2
55;11,2
56;11,2
57;11,1
58;11,1
59;11,1
60;11,1
61;11,1
62;11,1
63;11,1
64;11,1
65;11,1
66;11,1
67;11,1
68;11,1
69;11,1
70;11,1
71;11,1
72;11,1
73;11,1
74;11,1
76;11,1
77;11,1
78;11,1
79;11,1
80;11,1
81;11,1
83;11,1
84;11,1
85;11,1
87;11,1
88;11,1
89;11,0
91;11,1
92;11,1
93;11,1
95;11,1
96;11,1
98;11,1
99;11,1
100;10,9
101;11,2
102;11,1
104;11,1
105;11,1
107;11,1
108;11,1
110;11,0
112;11,0
113;11,0
115;11,0
117;11,0
119;11,0
120;11,0
122;11,0
124;11,0
126;11,0
128;11,0
130;11,0
132;11,0
134;11,0
136;11,0
138;11,0
140;11,0
142;11,0
144;11,0
146;11,0
148;11,0
151;11,0
153;11,0
155;11,0
158;11,0
160;11,0
162;11,0
165;11,0
167;11,0
170;11,0
172;11,0
175;11,0
178;11,0
180;11,0
183;11,0
186;11,0
189;11,0
192;11,0
194;11,0
197;11,0
200;11,0
203;11,0
206;11,0
210;11,0
213;11,0
216;11,0
219;11,0
222;11,0
226;11,0
229;11,0
233;11,0
236;11,0
240;11,0
243;11,0
247;11,0
251;11,0
255;11,0
258;11,0
262;11,0
266;11,0
270;11,0
274;11,0
279;11,0
283;11,0
287;11,0
291;11,0
296;11,0
300;11,0
305;11,0
308;10,9
310;11,0
314;11,0
319;11,0
321;10,9
324;11,0
329;11,0
333;10,9
334;11,1
339;11,0
344;11,0
347;10,9
349;11,1
354;11,0
359;11,0
362;10,9
365;11,1
370;11,1
375;11,0
376;11,1
382;11,1
387;11,1
391;11,0
394;11,1
399;11,1
405;11,1
411;11,1
418;11,1
422;11,0
424;11,2
430;11,1
437;11,1
443;11,1
450;11,1
456;11,0
457;11,2
464;11,2
471;11,1
477;11,1
478;11,2
483;11,1
486;11,2
491;11,1
493;11,3
499;11,1
500;11,3
506;11,2
508;11,4
514;11,2
516;11,3
522;11,2
524;11,4
529;11,2
531;11,4
537;11,3
539;11,5
545;11,3
548;11,5
555;11,3
556;11,5
564;11,5
568;11,4
572;11,5
577;11,4
581;11,5
587;11,4
590;11,5
596;11,4
599;11,6
606;11,4
608;11,6
614;11,5
617;11,6
624;11,5
627;11,7
634;11,5
636;11,7
643;11,6
646;11,7
651;11,6
655;11,7
662;11,6
665;11,8
673;11,6
675;11,8
682;11,7
686;11,8
693;11,6
695;11,8
705;11,7
706;11,9
716;11,8
717;11,9
726;11,8
728;12,0
737;11,8
739;12,0
746;11,8
750;12,0
756;11,8
761;12,0
772;12,0
784;12,0
795;12,1
796;11,9
808;12,0
820;12,0
832;12,0
845;11,9
857;11,9
870;11,9
884;11,9
897;11,9
910;11,9
924;11,9
938;11,9
952;11,9
967;11,9
981;11,9
996;11,8
1011;11,8
1026;11,8
1042;11,8
1058;11,8
1074;11,7
1090;11,7
1106;11,7
1123;11,7
1140;11,7
1157;11,7
1175;11,7
1192;11,7
1210;11,6
1229;11,6
1247;11,6
1266;11,6
1285;11,6
1305;11,6
1324;11,6
1344;11,6
1365;11,6
1385;11,6
1406;11,6
1427;11,6
1449;11,6
1471;11,6
1493;11,6
1516;11,6
1539;11,6
1562;11,6
1585;11,6
1609;11,6
1633;11,5
1635;11,7
1657;11,6
1659;11,8
1682;11,6
1684;11,8
1706;11,6
1710;11,8
1731;11,6
1737;11,8
1752;11,6
1763;11,8
1783;11,7
1789;11,8
1810;11,7
1816;11,8
1840;11,7
1844;11,9
1863;11,7
1872;11,9
1893;11,7
1898;11,9
1923;11,8
1929;12,0
1953;11,8
1958;12,0
1983;11,8
1986;12,0
2013;11,9
2017;12,0
2045;12,1
2046;11,9
2075;11,9
2078;12,1
2108;12,1
2140;12,1
2172;12,1
2205;12,0
2238;12,0
2272;12,1
2273;11,8
2305;11,8
2306;12,0
2339;11,7
2341;11,9
2373;11,7
2376;11,8
2401;11,5
2412;11,7
2435;11,5
2461;11,3
2472;11,6
2496;11,3
2516;11,1
2534;11,3
2551;11,1
2568;10,9
2590;11,1
2604;10,9
2625;10,7
2643;10,9
2661;10,7
2686;10,5
2701;10,8
2724;10,5
2749;10,3
2765;10,6
2788;10,3
2817;10,1
2830;10,4
2857;10,1
2887;10,0
2900;10,2
2928;10,0
2959;9,8
2972;10,0
3000;9,8
3029;9,6
3046;9,9
3073;9,6
3116;9,5
3117;9,7
3161;9,4
3165;9,7
3206;9,6
3210;9,4
3258;9,3
3261;9,5
3307;9,2
3310;9,4
3352;9,4
3358;9,2
3407;9,1
3411;9,3
3459;9,1
3509;8,9
3510;9,2
3556;8,9
3566;9,1
3610;8,9
3621;9,2
3672;9,0
3673;9,2
3725;9,2
3728;9,5
3781;9,4
3784;9,7
3818;9,9
3835;9,6
3859;10,1
3872;9,9
3892;10,3
3918;10,1
3928;10,6
3947;10,3
3966;10,8
3985;10,5
4003;11,0
4028;10,7
4046;11,2
4072;10,9
4091;11,4
4116;11,1
4136;11,6
4155;11,3
4181;11,8
4195;11,6
4222;12,0
4245;11,8
4263;12,3
4297;12,0
4325;12,4
4327;12,2
4385;12,3
4389;12,6
4441;12,5
4459;12,7
4503;12,5
4526;12,7
4589;12,6
4659;12,7
4663;12,5
4728;12,4
4729;12,7
4796;12,3
4800;12,6
4865;12,4
4892;12,1
4940;12,3
4960;12,1
4987;11,9
5035;12,1
5057;11,9
5075;11,7
5132;11,9
5148;11,7
5157;11,5
5224;11,7
5229;11,4
5251;11,3
5310;11,5
5323;11,3
5375;11,1
5405;11,4
5450;11,1
5508;10,9
5532;11,2
5585;10,9
5638;10,7
5670;11,0
5717;10,7
5777;10,5
5803;10,8
5859;10,5
5921;10,4
5947;10,6
6004;10,4
6068;10,2
6095;10,4
6153;10,2
6211;10,0
6246;10,2
6298;10,0
6349;9,8
6393;10,1
6437;9,8
6497;9,6
6534;9,9
6588;9,6
6650;9,5
6687;9,7
6746;9,5
6837;9,3
6844;9,6
6939;9,3
6947;9,5
7036;9,2
7052;9,4
7138;9,2
7216;8,9
7247;9,2
7317;9,0
7377;8,8
7427;9,0
7478;8,8
7539;8,6
7591;8,8
7649;8,6
7757;8,5
7759;8,7
7876;8,6
7975;8,4
8000;8,6
8094;8,5
8123;8,6
8240;8,5
8245;8,7
8358;8,5
8365;8,8
8481;8,6
8494;8,8
8607;8,7
8624;8,9
8739;8,8
8753;9,0
8874;8,9
8882;9,1
9008;9,0
9016;9,2
9144;9,1
9152;9,3
9282;9,2
9290;9,4
9422;9,3
9431;9,5
9565;9,4
9573;9,6
9709;9,5
9717;9,7
9855;9,6
9864;9,8
10004;9,7
10013;9,9
10137;9,8
10170;9,9
10309;9,8
10314;10,0
10470;10,0
10475;9,8
10628;9,9
10789;9,8
10952;9,7
11111;9,5
11117;9,7
11262;9,4
11285;9,6
11421;9,4
11518;9,1
11597;9,4
11682;9,1
11720;8,9
11853;9,1
11879;8,7
11891;8,9
11985;8,5
12049;8,9
12089;8,7
12123;8,4
12224;8,6
12244;8,1
12310;7,9
12361;8,3
12415;7,7
12474;8,1
12490;7,4
12498;7,9
12606;7,7
12627;7,2
12690;7,4
12724;7,0
12807;6,7
12837;7,2
12922;6,5
12942;6,9
13048;6,7
13084;6,3
13180;6,5
13219;6,2
13331;6,4
13412;6,2
13417;6,0
13594;5,9
13607;6,1
13658;5,7
13813;5,9
13847;5,7
13924;5,5
14060;5,7
14122;5,5
14170;5,3
14331;5,5
14371;5,1
14384;5,3
14574;5,0
14588;5,3
14642;4,9
14808;5,1
14849;4,8
14904;4,7
15073;4,9
15115;4,6
15171;4,4
15343;4,7
15379;4,4
15485;4,3
15618;4,5
15712;4,3
15874;4,5
15949;4,3
16110;4,5
16208;4,3
16346;4,6
16454;4,5
16562;4,9
16665;4,6
16753;5,1
16864;4,8
16921;5,3
17014;5,5
17031;5,1
17130;5,7
17161;5,1
17223;6,0
17245;5,4
17336;6,2
17384;5,7
17404;6,4
17475;6,6
17481;6,0
17546;6,8
17623;7,0
17625;6,2
17695;7,3
17698;6,5
17763;6,7
17767;7,5
17864;7,7
17876;6,9
17937;8,0
17966;7,2
18010;8,2
18037;7,4
18079;8,4
18145;7,7
18155;8,6
18162;7,5
18226;7,9
18227;8,9
18300;8,7
18374;8,4
18378;9,3
18446;8,6
18454;9,5
18521;8,9
18530;9,8
18571;10,0
18627;9,1
18672;10,2
18711;9,4
18751;10,5
18797;9,7
18832;10,7
18851;9,9
18910;11,0
18975;10,2
18987;11,2
18993;10,0
19060;11,4
19062;10,5
19132;10,7
19142;11,6
19199;11,0
19214;11,9
19285;11,2
19298;12,1
19400;12,3
19409;11,2
19415;11,5
19506;12,6
19520;11,8
19607;12,1
19617;12,8
19694;12,3
19834;12,8
19841;12,6
19844;12,4
